"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"687","CCL5","CCR4",2184.32291666667,2,13.4843049327354,5,"cytokine"
"544","CCL4","CCR5",1004.43946188341,5,29.1368715083799,1,"cytokine"
"1104","IL16","CCR5",222.220238095238,8,130.318385650224,5,"cytokine"
"886","CCL5","SDC4",1845.75139664804,1,15.6290322580645,3,"cytokine"
"998","IL10","IL10RA",120.5875,6,238.876344086022,3,"cytokine"
"682","CCL5","CCR4",2587.40860215054,3,11.0994764397906,4,"cytokine"
"399","CCL3","CCR5",563.077380952381,7,50.84375,2,"cytokine"
"428","CCL3","CCR5",219.02688172043,3,130.318385650224,5,"cytokine"
"305","CCL3","CCR1",259.937172774869,4,109.607142857143,8,"cytokine"
"1149","IL16","CCR5",171.125,2,165.952380952381,8,"cytokine"
"1151","IL16","CCR5",171.125,2,164.8125,6,"cytokine"
"278","CCL3","CCR1",1185.625,8,23.7311827956989,3,"cytokine"
"1113","IL16","CCR5",309.875,7,89.2146596858639,4,"cytokine"
"647","CCL5","CCR1",1845.75139664804,1,14.5677083333333,2,"cytokine"
"1121","IL16","CCR5",297.63125,6,89.2146596858639,4,"cytokine"
"592","CCL5","CCR1",3134.80952380952,8,8.41620111731844,1,"cytokine"
"1144","IL16","CCR5",201.220430107527,3,130.318385650224,5,"cytokine"
"884","CCL5","SDC4",1845.75139664804,1,14.1076233183857,5,"cytokine"
"510","CCL4","CCR1",1083.89664804469,1,23.7311827956989,3,"cytokine"
"1129","IL16","CCR5",282.973094170404,5,89.2146596858639,4,"cytokine"
"887","CCL5","SDC4",1845.75139664804,1,13.6197916666667,2,"cytokine"
"885","CCL5","SDC4",1845.75139664804,1,13.5392670157068,4,"cytokine"
"693","CCL5","CCR4",1845.75139664804,1,13.4843049327354,5,"cytokine"
"297","CCL3","CCR1",226.668161434978,5,109.607142857143,8,"cytokine"
"577","CCL4","CCR8",2378.52380952381,8,10.3821989528796,4,"cytokine"
"653","CCL5","CCR4",3134.80952380952,8,7.87096774193548,3,"cytokine"
"433","CCL3","CCR5",147.65625,2,165.952380952381,8,"cytokine"
"308","CCL3","CCR1",259.937172774869,4,93.8744394618834,5,"cytokine"
"435","CCL3","CCR5",147.65625,2,164.8125,6,"cytokine"
"688","CCL5","CCR4",2184.32291666667,2,11.0994764397906,4,"cytokine"
"313","CCL3","CCR1",219.02688172043,3,109.607142857143,8,"cytokine"
"957","CXCL13","CXCR5",1872.32738095238,7,12.7982062780269,5,"cytokine"
"478","CCL4","CCR1",1004.43946188341,5,23.7311827956989,3,"cytokine"
"951","CXCL13","CXCR3",167.72905027933,1,142.015625,2,"cytokine"
"579","CCL4","CCR8",2280.31875,6,10.3821989528796,4,"cytokine"
"624","CCL5","CCR1",2804.65445026178,4,8.41620111731844,1,"cytokine"
"421","CCL3","CCR5",259.937172774869,4,89.2146596858639,4,"cytokine"
"1180","IL16","KCNA3",309.875,7,74.6843575418994,1,"cytokine"
"407","CCL3","CCR5",450.21875,6,50.84375,2,"cytokine"
"323","CCL3","CCR1",147.65625,2,154.0375,6,"cytokine"
"338","CCL3","CCR4",1185.625,8,19.1785714285714,7,"cytokine"
"495","CCL4","CCR1",1550.86559139785,3,14.5677083333333,2,"cytokine"
"1029","IL10","SIRPG",120.5875,6,186.649214659686,4,"cytokine"
"1152","IL16","CCR5",171.125,2,130.318385650224,5,"cytokine"
"1188","IL16","KCNA3",297.63125,6,74.6843575418994,1,"cytokine"
"677","CCL5","CCR4",2804.65445026178,4,7.87096774193548,3,"cytokine"
"952","CXCL13","CXCR3",167.72905027933,1,130.768156424581,1,"cytokine"
"632","CCL5","CCR1",2587.40860215054,3,8.41620111731844,1,"cytokine"
"1030","IL10","SIRPG",120.5875,6,177.381720430108,3,"cytokine"
"300","CCL3","CCR1",226.668161434978,5,93.8744394618834,5,"cytokine"
"1137","IL16","CCR5",238.193717277487,4,89.2146596858639,4,"cytokine"
"1196","IL16","KCNA3",282.973094170404,5,74.6843575418994,1,"cytokine"
"578","CCL4","CCR8",2021.89285714286,7,10.3821989528796,4,"cytokine"
"1114","IL16","CCR5",309.875,7,67.3387096774194,3,"cytokine"
"316","CCL3","CCR1",219.02688172043,3,93.8744394618834,5,"cytokine"
"1010","IL10","IL10RB",120.5875,6,170.017857142857,7,"cytokine"
"694","CCL5","CCR4",1845.75139664804,1,11.0994764397906,4,"cytokine"
"683","CCL5","CCR4",2587.40860215054,3,7.87096774193548,3,"cytokine"
"487","CCL4","CCR1",1396.84816753927,4,14.5677083333333,2,"cytokine"
"413","CCL3","CCR5",226.668161434978,5,89.2146596858639,4,"cytokine"
"968","CXCL13","CXCR5",916.959641255605,5,21.9385474860335,1,"cytokine"
"1122","IL16","CCR5",297.63125,6,67.3387096774194,3,"cytokine"
"456","CCL4","CCR1",2378.52380952381,8,8.41620111731844,1,"cytokine"
"1011","IL10","IL10RB",120.5875,6,164.6625,6,"cytokine"
"1105","IL16","CCR5",222.220238095238,8,89.2146596858639,4,"cytokine"
"1176","IL16","KCNA3",309.875,7,63.9058295964126,5,"cytokine"
"330","CCL3","CCR1",77.8631284916201,1,253.64880952381,7,"cytokine"
"1158","IL16","CCR5",97.3491620111732,1,202.815476190476,7,"cytokine"
"342","CCL3","CCR4",1185.625,8,16.5586592178771,1,"cytokine"
"1009","IL10","IL10RB",120.5875,6,162.238095238095,8,"cytokine"
"429","CCL3","CCR5",219.02688172043,3,89.2146596858639,4,"cytokine"
"436","CCL3","CCR5",147.65625,2,130.318385650224,5,"cytokine"
"472","CCL4","CCR1",2280.31875,6,8.41620111731844,1,"cytokine"
"1130","IL16","CCR5",282.973094170404,5,67.3387096774194,3,"cytokine"
"1184","IL16","KCNA3",297.63125,6,63.9058295964126,5,"cytokine"
"503","CCL4","CCR1",1297.66145833333,2,14.5677083333333,2,"cytokine"
"1178","IL16","KCNA3",309.875,7,60.2096774193548,3,"cytokine"
"961","CXCL13","CXCR5",1447.1,6,12.7982062780269,5,"cytokine"
"640","CCL5","CCR1",2184.32291666667,2,8.41620111731844,1,"cytokine"
"309","CCL3","CCR1",259.937172774869,4,69.9528795811518,4,"cytokine"
"1192","IL16","KCNA3",282.973094170404,5,63.9058295964126,5,"cytokine"
"1145","IL16","CCR5",201.220430107527,3,89.2146596858639,4,"cytokine"
"1186","IL16","KCNA3",297.63125,6,60.2096774193548,3,"cytokine"
"1204","IL16","KCNA3",238.193717277487,4,74.6843575418994,1,"cytokine"
"422","CCL3","CCR5",259.937172774869,4,67.3387096774194,3,"cytokine"
"279","CCL3","CCR1",1185.625,8,14.5677083333333,2,"cytokine"
"689","CCL5","CCR4",2184.32291666667,2,7.87096774193548,3,"cytokine"
"1194","IL16","KCNA3",282.973094170404,5,60.2096774193548,3,"cytokine"
"82","CCL3L1","CCR1",67.1607142857143,8,253.64880952381,7,"cytokine"
"464","CCL4","CCR1",2021.89285714286,7,8.41620111731844,1,"cytokine"
"1337","IL2","IL2RG",8.47533632286996,5,1971.85119047619,7,"cytokine"
"1172","IL16","KCNA3",222.220238095238,8,74.6843575418994,1,"cytokine"
"400","CCL3","CCR5",563.077380952381,7,29.1368715083799,1,"cytokine"
"321","CCL3","CCR1",147.65625,2,109.607142857143,8,"cytokine"
"1174","IL16","KCNA3",309.875,7,52.1428571428571,7,"cytokine"
"1157","IL16","CCR5",97.3491620111732,1,165.952380952381,8,"cytokine"
"90","CCL3L1","CCR1",63.6607142857143,7,253.64880952381,7,"cytokine"
"218","CCL3L3","CCR5",79.4345238095238,7,202.815476190476,7,"cytokine"
"582","CCL4","CCR8",1550.86559139785,3,10.3821989528796,4,"cytokine"
"1159","IL16","CCR5",97.3491620111732,1,164.8125,6,"cytokine"
"1138","IL16","CCR5",238.193717277487,4,67.3387096774194,3,"cytokine"
