"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"354","ADAM28","ITGA4",21.1623036649215,4,255.588541666667,2,"other"
"2145","DUSP18","ITGB1",29.577380952381,8,182.529761904762,7,"other"
"2480","FASLG","FAS",64.2262569832402,1,84.036312849162,1,"other"
"3367","GPI","AMFR",302.238095238095,7,17.8511904761905,7,"other"
"6369","LRPAP1","SORL1",78.8697916666667,2,68.3507853403141,4,"other"
"6238","LRPAP1","LDLR",87.1369047619048,7,61.8452380952381,7,"other"
"5792","ICAM2","ITGAL",16.7578475336323,5,321.5375,6,"other"
"3435","GSTP1","TRAF2",160.083333333333,7,33.6021505376344,3,"other"
"6282","LRPAP1","LDLR",78.8697916666667,2,68.1344086021505,3,"other"
"6353","LRPAP1","SORL1",78.5811518324607,4,68.3507853403141,4,"other"
"6867","OSM","IL6ST",32.6666666666667,3,164.385650224215,5,"other"
"6489","LTA","TNFRSF1B",19.29375,6,277.947643979058,4,"other"
"7176","PSEN1","NCSTN",79.2600896860987,5,67.6282722513089,4,"other"
"6266","LRPAP1","LDLR",78.5811518324607,4,68.1344086021505,3,"other"
"8458","UBA52","TGFBR2",53.2688172043011,3,100.304932735426,5,"other"
"7398","PTDSS1","JMJD6",59.5195530726257,1,89.63125,6,"other"
"2763","GNAI2","ADCY7",106.64880952381,7,50,3,"other"
"8459","UBA52","TGFBR2",53.2688172043011,3,100.031413612565,4,"other"
"8107","TNF","TNFRSF1A",90.9114583333333,2,58.586387434555,4,"other"
"1630","CALM3","SELL",56.2043010752688,3,94.75,2,"other"
"3406","GPI","AMFR",151.036458333333,2,35.1964285714286,8,"other"
"1342","CALM1","OPRM1",803.075268817204,3,6.61458333333333,2,"other"
"447","ARF1","PLD2",483.394618834081,5,10.9888268156425,1,"other"
"3354","GNAS","PTGDR",454.382681564246,1,11.6858638743456,4,"other"
"7153","PSEN1","NCSTN",83.7678571428571,8,63.2634408602151,3,"other"
"6624","MFNG","NOTCH1",121.095238095238,8,43.66875,6,"other"
"353","ADAM28","ITGA4",21.1623036649215,4,249.784946236559,3,"other"
"8295","UBA52","NOTCH1",135.113095238095,7,39.0773809523809,8,"other"
"8215","TNF","TRAF2",57.4450261780105,4,91.8928571428571,8,"other"
"8500","ULBP2","KLRK1",6.09139784946237,3,866.41935483871,3,"other"
"6339","LRPAP1","SORL1",81.875,6,64.453125,2,"other"
"2176","DUSP18","ITGB1",18.7748691099476,4,280.690476190476,8,"other"
"2765","GNAI2","ADCY7",106.64880952381,7,49.3938547486034,1,"other"
"7170","PSEN1","NCSTN",73.40625,6,71.7552083333333,2,"other"
"2762","GNAI2","ADCY7",106.64880952381,7,49.3560209424084,4,"other"
"7865","TNFSF10","TNFRSF10A",204.767857142857,8,25.6666666666667,7,"other"
"8501","ULBP2","KLRK1",6.09139784946237,3,862.489583333333,2,"other"
"6807","NUCB2","ERAP1",79.9193548387097,3,65.7290502793296,1,"other"
"7649","SPON2","ITGB2",8.14349775784753,5,644.946428571429,8,"other"
"2184","DUSP18","ITGB1",18.7096774193548,3,280.690476190476,8,"other"
"6704","MFNG","NOTCH2",114.6125,6,45.81875,6,"other"
"2165","DUSP18","ITGB1",31.0125,6,169.295698924731,3,"other"
"6630","MFNG","NOTCH1",134.339285714286,7,39.0773809523809,8,"other"
"7921","TNFSF10","TNFRSF10B",135.297619047619,7,38.7321428571429,8,"other"
"7795","TIMP1","CD63",12.5235602094241,4,418.3875,6,"other"
"2004","DUSP18","ITGA1",18.7748691099476,4,278.79057591623,4,"other"
"2782","GNAI2","ADCY7",51,4,102.607142857143,8,"other"
"5376","HSP90B1","TLR1",539.178571428571,7,9.70238095238095,7,"other"
"1999","DUSP18","ITGA1",36.9506726457399,5,141.564245810056,1,"other"
"5821","ICAM2","ITGAL",31.3958333333333,2,166.561452513966,1,"other"
"7754","THBS1","ITGB1",28.6340782122905,1,182.529761904762,7,"other"
"6151","LGALS3BP","ITGB1",21.282722513089,4,245.30625,6,"other"
"7661","SPON2","ITGB2",9.23560209424084,4,564.890052356021,4,"other"
"2012","DUSP18","ITGA1",18.7096774193548,3,278.79057591623,4,"other"
"1767","CALR","ITGAV",177.77374301676,1,29.3379888268156,1,"other"
"3312","GNAS","PTGDR",446.309523809524,7,11.6858638743456,4,"other"
