"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"601","CD86","CTLA4",19.65625,6,104.937172774869,4,"checkpoint"
"61","BTLA","CD247",7.69832402234637,1,266.455497382199,4,"checkpoint"
"281","CD70","CD27",7.13128491620112,1,287.602094240838,4,"checkpoint"
"600","CD86","CTLA4",19.65625,6,104.085201793722,5,"checkpoint"
"403","TNFSF4","TRAF2",86.3763440860215,3,23.375,2,"checkpoint"
"204","CD40LG","ITGB2",5.69354838709677,3,354.337988826816,1,"checkpoint"
"756","LGALS9","HAVCR2",15.9516129032258,3,126.301675977654,1,"checkpoint"
"395","TNFSF4","TRAF2",85.7696335078534,4,23.375,2,"checkpoint"
"350","TNFSF4","TNFRSF4",236.357142857143,7,8.47120418848167,4,"checkpoint"
"774","TNFRSF4","TNFSF4",8.47120418848167,4,236.357142857143,7,"checkpoint"
"410","TNFSF4","TRAF2",59.3697916666667,2,33.6021505376344,3,"checkpoint"
"154","BTLA","TNFRSF14",18.6439790575916,4,106.642857142857,7,"checkpoint"
"657","TNFRSF14","BTLA",106.642857142857,7,18.6439790575916,4,"checkpoint"
"521","CD86","CD28",71.7142857142857,7,26.9424083769633,4,"checkpoint"
"62","BTLA","CD247",7.69832402234637,1,250.150537634409,3,"checkpoint"
"464","CD274","PDCD1",6.44791666666667,2,295.968609865471,5,"checkpoint"
"495","CD80","CD28",35.2380952380952,7,53.46875,6,"checkpoint"
"509","CD86","CD28",57.9345238095238,8,32.5,8,"checkpoint"
"142","BTLA","TNFRSF14",38.91875,6,47.989247311828,3,"checkpoint"
"687","TNFRSF14","BTLA",47.989247311828,3,38.91875,6,"checkpoint"
"351","TNFSF4","TNFRSF4",220.05,6,8.47120418848167,4,"checkpoint"
"775","TNFRSF4","TNFSF4",8.47120418848167,4,220.05,6,"checkpoint"
"499","CD80","CD28",35.2380952380952,7,52.546875,2,"checkpoint"
"428","CD274","PDCD1",18.5,8,98.9413407821229,1,"checkpoint"
"451","CD274","PDCD1",24.1937172774869,4,75.3177083333333,2,"checkpoint"
"481","PDCD1LG2","PDCD1",9.10313901345291,5,196.439790575916,4,"checkpoint"
"482","PDCD1LG2","PDCD1",9.10313901345291,5,195.123655913978,3,"checkpoint"
"45","BTLA","CD247",6.47849462365591,3,266.455497382199,4,"checkpoint"
"404","TNFSF4","TRAF2",86.3763440860215,3,19.8715083798883,1,"checkpoint"
"282","CD70","CD27",7.13128491620112,1,240.629032258065,3,"checkpoint"
"157","BTLA","TNFRSF14",18.6439790575916,4,91.8115183246073,4,"checkpoint"
"681","TNFRSF14","BTLA",91.8115183246073,4,18.6439790575916,4,"checkpoint"
"396","TNFSF4","TRAF2",85.7696335078534,4,19.8715083798883,1,"checkpoint"
"615","CD86","CTLA4",10.1559139784946,3,164.2875,6,"checkpoint"
