"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"233","TGFB1","ENG",9.33870967741935,3,13.1041666666667,2,"growth factor"
"26","EGFL8","NCR3",7.03225806451613,3,17.1428571428571,7,"growth factor"
"254","TGFB1","ITGAV",6.63874345549738,4,18.0261780104712,4,"growth factor"
"260","TGFB1","ITGAV",9.33870967741935,3,12.6860986547085,5,"growth factor"
"252","TGFB1","ITGAV",6.63874345549738,4,17.5625,6,"growth factor"
"251","TGFB1","ITGAV",6.63874345549738,4,17.3511904761905,8,"growth factor"
"276","TGFB1","ITGAV",18.4301675977654,1,6.2258064516129,3,"growth factor"
"37","EGFL8","NCR3",5.18229166666667,2,22.0261780104712,4,"growth factor"
"186","TGFB1","CD109",18.4301675977654,1,6.09217877094972,1,"growth factor"
"268","TGFB1","ITGAV",6.09375,2,18.0261780104712,4,"growth factor"
"263","TGFB1","ITGAV",9.33870967741935,3,11.6458333333333,2,"growth factor"
"38","EGFL8","NCR3",5.18229166666667,2,20.7634408602151,3,"growth factor"
"266","TGFB1","ITGAV",6.09375,2,17.5625,6,"growth factor"
"232","TGFB1","ENG",9.33870967741935,3,11.3655913978495,3,"growth factor"
"265","TGFB1","ITGAV",6.09375,2,17.3511904761905,8,"growth factor"
"40","EGFL8","NCR3",5.18229166666667,2,20.0558659217877,1,"growth factor"
"286","TGFB1","TGFBR1",6.63874345549738,4,15.6312849162011,1,"growth factor"
"222","TGFB1","ENG",6.63874345549738,4,15.3632286995516,5,"growth factor"
"106","PDGFA","PDGFRB",6.84375,2,14.6806282722513,4,"growth factor"
"221","TGFB1","ENG",6.63874345549738,4,14.8125,6,"growth factor"
"220","TGFB1","ENG",6.63874345549738,4,14.797619047619,7,"growth factor"
"302","TGFB1","TGFBR1",6.09375,2,15.6312849162011,1,"growth factor"
"231","TGFB1","ENG",9.33870967741935,3,10.0732984293194,4,"growth factor"
"238","TGFB1","ENG",6.09375,2,15.3632286995516,5,"growth factor"
"164","PDGFD","PDGFRB",6.359375,2,14.6806282722513,4,"growth factor"
"234","TGFB1","ENG",9.33870967741935,3,9.94134078212291,1,"growth factor"
"159","PDGFD","PDGFRB",11.1,6,8.24375,6,"growth factor"
"237","TGFB1","ENG",6.09375,2,14.8125,6,"growth factor"
"236","TGFB1","ENG",6.09375,2,14.797619047619,7,"growth factor"
"343","TGFB1","TGFBR3",6.63874345549738,4,13.4583333333333,8,"growth factor"
"34","EGFL8","NCR3",5.18229166666667,2,17.1428571428571,7,"growth factor"
"225","TGFB1","ENG",6.63874345549738,4,13.1041666666667,2,"growth factor"
"253","TGFB1","ITGAV",6.63874345549738,4,12.6860986547085,5,"growth factor"
"359","TGFB1","TGFBR3",6.09375,2,13.4583333333333,8,"growth factor"
"173","TGFB1","CD109",9.33870967741935,3,8.775,6,"growth factor"
"165","PDGFD","PDGFRB",9.93296089385475,1,8.24375,6,"growth factor"
"241","TGFB1","ENG",6.09375,2,13.1041666666667,2,"growth factor"
"256","TGFB1","ITGAV",6.63874345549738,4,11.6458333333333,2,"growth factor"
"267","TGFB1","ITGAV",6.09375,2,12.6860986547085,5,"growth factor"
"224","TGFB1","ENG",6.63874345549738,4,11.3655913978495,3,"growth factor"
"270","TGFB1","ITGAV",6.09375,2,11.6458333333333,2,"growth factor"
"161","PDGFD","PDGFRB",8.53363228699552,5,8.24375,6,"growth factor"
"240","TGFB1","ENG",6.09375,2,11.3655913978495,3,"growth factor"
"223","TGFB1","ENG",6.63874345549738,4,10.0732984293194,4,"growth factor"
"226","TGFB1","ENG",6.63874345549738,4,9.94134078212291,1,"growth factor"
